Date,Search
2020-03-11,54
2020-03-12,100
2020-03-13,89
2020-03-14,77
2020-03-15,74
2020-03-16,86
2020-03-17,81
2020-03-18,77
2020-03-19,75
2020-03-20,75
2020-03-21,69
2020-03-22,68
2020-03-23,63
2020-03-24,56
2020-03-25,55
2020-03-26,54
2020-03-27,52
2020-03-28,50
2020-03-29,47
2020-03-30,43
2020-03-31,40
2020-04-01,39
2020-04-02,38
2020-04-03,37
2020-04-04,37
2020-04-05,37
2020-04-06,33
2020-04-07,29
2020-04-08,27
2020-04-09,25
2020-04-10,23
2020-04-11,23
2020-04-12,21
2020-04-13,20
2020-04-14,19
2020-04-15,18
2020-04-16,18
2020-04-17,17
2020-04-18,17
2020-04-19,16
2020-04-20,15
2020-04-21,15
2020-04-22,15
2020-04-23,14
2020-04-24,14
2020-04-25,13
2020-04-26,13
2020-04-27,13
2020-04-28,12
2020-04-29,12
2020-04-30,11
2020-05-01,11
2020-05-02,11
2020-05-03,11
2020-05-04,11
2020-05-05,11
2020-05-06,10
2020-05-07,10
2020-05-08,9
2020-05-09,9
2020-05-10,9
2020-05-11,9
2020-05-12,9
2020-05-13,9
2020-05-14,9
2020-05-15,9
2020-05-16,9
2020-05-17,9
2020-05-18,8
2020-05-19,8
2020-05-20,7
2020-05-21,7
2020-05-22,7
2020-05-23,7
2020-05-24,7
2020-05-25,7
2020-05-26,7
2020-05-27,7
2020-05-28,6
2020-05-29,5
2020-05-30,6
2020-05-31,5
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,5
2020-06-11,6
2020-06-12,5
2020-06-13,5
2020-06-14,5
2020-06-15,5
2020-06-16,5
2020-06-17,6
2020-06-18,6
2020-06-19,6
2020-06-20,6
2020-06-21,6
2020-06-22,6
2020-06-23,6
2020-06-24,7
2020-06-25,7
2020-06-26,8
2020-06-27,8
2020-06-28,7
2020-06-29,7
2020-06-30,7
2020-07-01,7
2020-07-02,7
2020-07-03,7
2020-07-04,7
2020-07-05,6
2020-07-06,7
2020-07-07,6
2020-07-08,6
2020-07-09,6
2020-07-10,6
2020-07-11,6
2020-07-12,6
2020-07-13,6
2020-07-14,6
2020-07-15,6
2020-07-16,6
2020-07-17,6
2020-07-18,6
2020-07-19,6
2020-07-20,6
2020-07-21,5
2020-07-22,5
2020-07-23,5
2020-07-24,5
2020-07-25,5
2020-07-26,5
2020-07-27,5
2020-07-28,5
