Date,Search
2006-01,67
2006-02,57
2006-03,62
2006-04,50
2006-05,52
2006-06,74
2006-07,71
2006-08,47
2006-09,62
2006-10,57
2006-11,60
2006-12,40
2007-01,56
2007-02,49
2007-03,50
2007-04,42
2007-05,59
2007-06,61
2007-07,74
2007-08,71
2007-09,66
2007-10,61
2007-11,63
2007-12,56
2008-01,66
2008-02,65
2008-03,60
2008-04,58
2008-05,61
2008-06,69
2008-07,77
2008-08,74
2008-09,79
2008-10,77
2008-11,79
2008-12,62
2009-01,69
2009-02,73
2009-03,68
2009-04,51
2009-05,55
2009-06,61
2009-07,59
2009-08,67
2009-09,64
2009-10,61
2009-11,46
2009-12,54
2010-01,51
2010-02,52
2010-03,47
2010-04,42
2010-05,42
2010-06,44
2010-07,44
2010-08,51
2010-09,57
2010-10,51
2010-11,41
2010-12,43
2011-01,52
2011-02,49
2011-03,48
2011-04,42
2011-05,41
2011-06,45
2011-07,51
2011-08,48
2011-09,48
2011-10,44
2011-11,39
2011-12,41
2012-01,38
2012-02,42
2012-03,43
2012-04,34
2012-05,36
2012-06,44
2012-07,46
2012-08,49
2012-09,60
2012-10,43
2012-11,50
2012-12,45
2013-01,48
2013-02,54
2013-03,53
2013-04,47
2013-05,48
2013-06,47
2013-07,57
2013-08,55
2013-09,63
2013-10,53
2013-11,53
2013-12,48
2014-01,52
2014-02,52
2014-03,47
2014-04,48
2014-05,49
2014-06,53
2014-07,57
2014-08,63
2014-09,65
2014-10,58
2014-11,61
2014-12,59
2015-01,64
2015-02,66
2015-03,62
2015-04,60
2015-05,58
2015-06,67
2015-07,70
2015-08,77
2015-09,73
2015-10,80
2015-11,72
2015-12,64
2016-01,72
2016-02,74
2016-03,71
2016-04,63
2016-05,67
2016-06,76
2016-07,84
2016-08,94
2016-09,86
2016-10,97
2016-11,91
2016-12,79
2017-01,83
2017-02,88
2017-03,79
2017-04,67
2017-05,73
2017-06,84
2017-07,89
2017-08,77
2017-09,89
2017-10,84
2017-11,76
2017-12,66
2018-01,74
2018-02,78
2018-03,70
2018-04,65
2018-05,63
2018-06,83
2018-07,98
2018-08,75
2018-09,97
2018-10,100
2018-11,95
2018-12,98
